Country	Long	Lat
North Korea	127.150562453688	40.1311155535289
Japan	137.591097598706	37.4056031374563
Cambodia	104.911866886447	12.7048007317645
Kiribati	-162.270948000973	-1.04990534217107
Comoros	43.6710956610682	-11.8840859593398
Indonesia	117.25098387422	-2.28275009718391
Ireland	-8.15376869387378	53.166851565308
Israel	34.9611324180798	31.3402024859088
Isle of Man	-4.53650618364761	54.2299965050774
British Indian Ocean Territory	72.3907758067019	-7.28982973282289
Iraq	43.8028280796648	33.0186906088976
Nicaragua	-85.039848220217	12.8422316605263
India	79.4067697074492	22.2283597086005
Iran	54.4690932255494	32.5154322226663
Myanmar/Burma	96.5075063388158	21.0411119979255
Mongolia	103.14884031594	46.9695439319978
Macau	113.54316460376	22.2000124212928
Northern Mariana Islands	145.489308125173	16.9408181693797
